Respondent_ID,Job_Mismatch,Curriculum_Relevance,Internship_Exposure,Job_Demand,Employer_Expectations,Financial_Pressure
1,1,0,0,0,1,0
2,1,1,0,0,1,1
3,1,0,0,0,0,1
4,0,0,1,0,1,0
5,0,0,0,0,1,1
6,0,1,1,0,0,0
7,1,0,0,0,0,0
8,1,1,1,0,1,1
9,1,0,1,0,0,1
10,0,1,1,1,0,1
11,1,0,0,0,0,1
12,0,0,1,0,1,1
13,1,1,1,0,0,0
14,0,0,0,0,1,1
15,0,0,1,0,0,0
16,0,1,1,0,1,1
17,1,0,1,1,1,1
18,0,1,0,0,0,0
19,0,0,0,0,0,1
20,1,0,1,1,1,0
21,1,1,1,0,0,0
22,0,0,0,1,0,0
23,1,1,0,1,0,0
24,1,1,0,1,0,0
25,0,0,0,1,0,0
26,0,1,0,0,1,0
27,0,1,1,1,1,0
28,0,0,0,0,1,1
29,0,0,0,1,1,1
30,1,0,1,1,1,1
31,0,1,1,0,1,1
32,0,1,1,1,0,1
33,0,0,1,1,0,0
34,0,0,1,0,0,0
35,0,0,0,1,0,0
36,1,0,0,0,1,1
37,0,0,0,0,0,1
38,0,0,1,1,1,1
39,0,0,0,0,1,1
40,0,0,0,1,1,0
41,0,0,0,0,0,0
42,0,0,1,1,0,0
43,1,1,0,0,1,1
44,0,0,0,0,0,1
45,1,0,0,1,1,0
46,1,0,0,0,0,0
47,1,0,1,1,1,1
48,0,0,0,0,1,1
49,1,0,0,0,1,1
50,1,0,0,0,0,0
